#Slovenia, Life tables (period 5x1), Females	Last modified: 06 Dec 2018;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1983           0      0.01267  0.01253  0.12  100000    1253   98901  7488060  74.88
  1983         1-4      0.00085  0.00338  1.46   98747     334  394141  7389158  74.83
  1983         5-9      0.00018  0.00090  2.51   98413      88  491847  6995018  71.08
  1983        10-14     0.00012  0.00059  2.91   98325      58  491504  6503171  66.14
  1983        15-19     0.00037  0.00187  2.86   98267     184  490943  6011666  61.18
  1983        20-24     0.00044  0.00221  2.61   98084     217  489899  5520723  56.29
  1983        25-29     0.00059  0.00294  2.65   97866     288  488655  5030824  51.40
  1983        30-34     0.00077  0.00386  2.82   97578     377  487068  4542169  46.55
  1983        35-39     0.00110  0.00549  2.62   97201     533  484737  4055101  41.72
  1983        40-44     0.00208  0.01036  2.73   96668    1001  481068  3570364  36.93
  1983        45-49     0.00354  0.01757  2.63   95666    1681  474351  3089297  32.29
  1983        50-54     0.00546  0.02695  2.67   93986    2533  464020  2614946  27.82
  1983        55-59     0.00856  0.04197  2.75   91453    3838  448612  2150926  23.52
  1983        60-64     0.01215  0.05907  2.66   87615    5175  425972  1702314  19.43
  1983        65-69     0.02056  0.09813  2.68   82439    8090  393444  1276342  15.48
  1983        70-74     0.03726  0.17142  2.67   74349   12745  342045   882898  11.88
  1983        75-79     0.06597  0.28462  2.59   61604   17534  265790   540854   8.78
  1983        80-84     0.12030  0.46214  2.49   44070   20366  169302   275063   6.24
  1983        85-89     0.19069  0.63204  2.33   23704   14982   78568   105762   4.46
  1983        90-94     0.29960  0.79583  2.06    8722    6941   23169    27193   3.12
  1983        95-99     0.43141  0.90203  1.77    1781    1606    3723     4025   2.26
  1983       100-104    0.57429  0.95598  1.51     174     167     290      301   1.73
  1983       105-109    0.70721  0.97902  1.31       8       8      11       11   1.41
  1983       110+       0.80174  1.00000  1.25       0       0       0        0   1.25
  1984           0      0.01210  0.01197  0.12  100000    1197   98951  7527999  75.28
  1984         1-4      0.00039  0.00158  1.52   98803     156  394824  7429047  75.19
  1984         5-9      0.00022  0.00110  2.37   98647     109  492948  7034224  71.31
  1984        10-14     0.00026  0.00130  2.24   98538     128  492336  6541275  66.38
  1984        15-19     0.00042  0.00211  2.28   98410     207  491485  6048939  61.47
  1984        20-24     0.00043  0.00214  2.36   98202     210  490455  5557454  56.59
  1984        25-29     0.00043  0.00216  2.38   97992     212  489404  5066999  51.71
  1984        30-34     0.00069  0.00342  2.68   97780     335  488121  4577595  46.82
  1984        35-39     0.00118  0.00588  2.43   97445     573  485752  4089474  41.97
  1984        40-44     0.00222  0.01105  2.77   96872    1071  481977  3603722  37.20
  1984        45-49     0.00350  0.01734  2.75   95802    1661  475268  3121745  32.59
  1984        50-54     0.00524  0.02590  2.67   94140    2438  465030  2646477  28.11
  1984        55-59     0.00761  0.03738  2.61   91702    3428  450327  2181447  23.79
  1984        60-64     0.01180  0.05748  2.78   88274    5074  430122  1731120  19.61
  1984        65-69     0.01967  0.09404  2.68   83200    7824  397837  1300999  15.64
  1984        70-74     0.03524  0.16277  2.66   75376   12269  348186   903162  11.98
  1984        75-79     0.06633  0.28701  2.66   63107   18113  273068   554976   8.79
  1984        80-84     0.11927  0.45771  2.46   44994   20594  172677   281908   6.27
  1984        85-89     0.18985  0.62982  2.33   24400   15368   80947   109232   4.48
  1984        90-94     0.29818  0.79406  2.06    9032    7172   24054    28284   3.13
  1984        95-99     0.42847  0.90028  1.78    1860    1675    3908     4231   2.27
  1984       100-104    0.57002  0.95484  1.52     185     177     311      323   1.74
  1984       105-109    0.70239  0.97842  1.31       8       8      12       12   1.42
  1984       110+       0.79710  1.00000  1.25       0       0       0        0   1.25
  1985           0      0.00990  0.00982  0.13  100000     982   99145  7580966  75.81
  1985         1-4      0.00033  0.00131  2.01   99018     130  395816  7481822  75.56
  1985         5-9      0.00029  0.00144  2.26   98889     143  494052  7086006  71.66
  1985        10-14     0.00009  0.00043  2.21   98746      43  493610  6591953  66.76
  1985        15-19     0.00040  0.00198  2.66   98703     196  493057  6098344  61.78
  1985        20-24     0.00052  0.00259  2.20   98507     255  491823  5605286  56.90
  1985        25-29     0.00045  0.00224  2.68   98252     220  490750  5113463  52.04
  1985        30-34     0.00068  0.00338  2.66   98032     332  489384  4622713  47.16
  1985        35-39     0.00124  0.00619  2.69   97700     605  487103  4133329  42.31
  1985        40-44     0.00159  0.00793  2.46   97095     770  483522  3646226  37.55
  1985        45-49     0.00290  0.01439  2.69   96325    1386  478425  3162704  32.83
  1985        50-54     0.00489  0.02416  2.71   94939    2294  469450  2684279  28.27
  1985        55-59     0.00731  0.03594  2.67   92645    3330  455469  2214830  23.91
  1985        60-64     0.01160  0.05633  2.48   89316    5031  433904  1759360  19.70
  1985        65-69     0.02099  0.10026  2.77   84284    8450  402563  1325456  15.73
  1985        70-74     0.03415  0.15846  2.72   75834   12016  351826   922893  12.17
  1985        75-79     0.06290  0.27293  2.58   63818   17418  276891   571067   8.95
  1985        80-84     0.11607  0.44963  2.50   46400   20863  179745   294176   6.34
  1985        85-89     0.18989  0.63224  2.36   25537   16146   85026   114432   4.48
  1985        90-94     0.29787  0.79415  2.06    9392    7458   25039    29405   3.13
  1985        95-99     0.43154  0.90232  1.78    1933    1744    4042     4367   2.26
  1985       100-104    0.57660  0.95666  1.51     189     181     313      325   1.72
  1985       105-109    0.71107  0.97952  1.30       8       8      11       11   1.40
  1985       110+       0.80613  1.00000  1.24       0       0       0        0   1.24
  1986           0      0.01062  0.01052  0.13  100000    1052   99082  7612817  76.13
  1986         1-4      0.00050  0.00198  1.39   98948     196  395280  7513735  75.94
  1986         5-9      0.00016  0.00082  1.91   98752      81  493509  7118455  72.08
  1986        10-14     0.00019  0.00097  1.74   98671      96  493041  6624945  67.14
  1986        15-19     0.00034  0.00171  2.41   98575     169  492436  6131904  62.21
  1986        20-24     0.00042  0.00210  2.41   98406     206  491494  5639468  57.31
  1986        25-29     0.00067  0.00333  2.29   98200     327  490113  5147974  52.42
  1986        30-34     0.00064  0.00320  2.55   97873     313  488596  4657861  47.59
  1986        35-39     0.00091  0.00454  2.51   97560     443  486695  4169265  42.74
  1986        40-44     0.00208  0.01036  2.83   97117    1006  483398  3682571  37.92
  1986        45-49     0.00278  0.01379  2.83   96110    1326  477679  3199172  33.29
  1986        50-54     0.00485  0.02396  2.63   94785    2271  468542  2721493  28.71
  1986        55-59     0.00687  0.03381  2.66   92514    3127  455237  2252951  24.35
  1986        60-64     0.01067  0.05205  2.70   89387    4653  436244  1797714  20.11
  1986        65-69     0.01812  0.08706  2.74   84734    7376  407023  1361470  16.07
  1986        70-74     0.03258  0.15156  2.71   77357   11724  359910   954447  12.34
  1986        75-79     0.06161  0.26876  2.63   65633   17639  286324   594537   9.06
  1986        80-84     0.11262  0.43973  2.51   47994   21104  187398   308212   6.42
  1986        85-89     0.18863  0.62621  2.32   26889   16839   89268   120814   4.49
  1986        90-94     0.29674  0.79322  2.07   10051    7973   26867    31546   3.14
  1986        95-99     0.43300  0.90339  1.77    2078    1878    4336     4679   2.25
  1986       100-104    0.58087  0.95784  1.50     201     192     331      343   1.71
  1986       105-109    0.71714  0.98027  1.29       8       8      12       12   1.39
  1986       110+       0.81256  1.00000  1.23       0       0       0        0   1.23
  1987           0      0.01076  0.01066  0.13  100000    1066   99069  7622430  76.22
  1987         1-4      0.00041  0.00165  1.58   98934     164  395341  7523361  76.04
  1987         5-9      0.00013  0.00063  1.90   98770      62  493659  7128020  72.17
  1987        10-14     0.00005  0.00027  1.78   98708      27  493454  6634361  67.21
  1987        15-19     0.00045  0.00226  3.32   98681     223  493032  6140907  62.23
  1987        20-24     0.00038  0.00188  2.05   98458     185  491747  5647876  57.36
  1987        25-29     0.00050  0.00247  2.45   98274     243  490748  5156129  52.47
  1987        30-34     0.00092  0.00460  2.68   98031     451  489109  4665381  47.59
  1987        35-39     0.00124  0.00616  2.82   97580     601  486590  4176272  42.80
  1987        40-44     0.00157  0.00783  2.54   96978     759  483022  3689682  38.05
  1987        45-49     0.00325  0.01613  2.74   96219    1552  477583  3206660  33.33
  1987        50-54     0.00490  0.02422  2.59   94667    2292  467804  2729076  28.83
  1987        55-59     0.00700  0.03442  2.66   92374    3180  454435  2261272  24.48
  1987        60-64     0.01132  0.05510  2.63   89195    4915  434332  1806837  20.26
  1987        65-69     0.01689  0.08114  2.57   84280    6838  404773  1372504  16.29
  1987        70-74     0.03104  0.14464  2.64   77442   11201  360804   967732  12.50
  1987        75-79     0.05918  0.25972  2.64   66241   17204  290684   606928   9.16
  1987        80-84     0.11243  0.43949  2.52   49037   21551  191686   316243   6.45
  1987        85-89     0.18829  0.62109  2.26   27486   17071   90665   124558   4.53
  1987        90-94     0.28493  0.77832  2.09   10415    8106   28449    33893   3.25
  1987        95-99     0.41199  0.89055  1.81    2309    2056    4990     5443   2.36
  1987       100-104    0.55231  0.95008  1.55     253     240     435      453   1.79
  1987       105-109    0.68611  0.97635  1.34      13      12      18       18   1.45
  1987       110+       0.78338  1.00000  1.28       0       0       0        0   1.28
  1988           0      0.00875  0.00868  0.13  100000     868   99245  7679122  76.79
  1988         1-4      0.00038  0.00152  1.17   99132     150  396101  7579876  76.46
  1988         5-9      0.00034  0.00170  1.83   98981     169  494372  7183775  72.58
  1988        10-14     0.00018  0.00090  2.83   98813      89  493871  6689403  67.70
  1988        15-19     0.00043  0.00214  2.61   98724     212  493113  6195532  62.76
  1988        20-24     0.00048  0.00240  2.42   98512     236  491953  5702419  57.89
  1988        25-29     0.00047  0.00236  2.66   98276     232  490839  5210466  53.02
  1988        30-34     0.00072  0.00360  2.59   98044     353  489370  4719627  48.14
  1988        35-39     0.00102  0.00511  2.58   97691     499  487250  4230257  43.30
  1988        40-44     0.00167  0.00833  2.73   97192     809  484122  3743006  38.51
  1988        45-49     0.00258  0.01282  2.78   96383    1235  479173  3258885  33.81
  1988        50-54     0.00452  0.02236  2.78   95147    2128  471013  2779712  29.21
  1988        55-59     0.00724  0.03559  2.72   93020    3311  457558  2308698  24.82
  1988        60-64     0.01052  0.05134  2.68   89709    4605  437848  1851140  20.63
  1988        65-69     0.01800  0.08625  2.59   85104    7340  407821  1413292  16.61
  1988        70-74     0.02976  0.13907  2.65   77764   10815  363394  1005471  12.93
  1988        75-79     0.05587  0.24665  2.63   66949   16513  295579   642077   9.59
  1988        80-84     0.10160  0.40673  2.55   50436   20514  201898   346498   6.87
  1988        85-89     0.17061  0.58541  2.32   29922   17517  102675   144600   4.83
  1988        90-94     0.27165  0.76221  2.12   12405    9456   34808    41925   3.38
  1988        95-99     0.40133  0.88442  1.84    2950    2609    6501     7118   2.41
  1988       100-104    0.54672  0.94884  1.56     341     323     592      617   1.81
  1988       105-109    0.68605  0.97650  1.34      17      17      25       25   1.45
  1988       110+       0.78684  1.00000  1.27       0       0       1        1   1.27
  1989           0      0.00755  0.00750  0.13  100000     750   99350  7723528  77.24
  1989         1-4      0.00038  0.00152  1.13   99250     151  396567  7624178  76.82
  1989         5-9      0.00029  0.00143  2.55   99099     141  495150  7227611  72.93
  1989        10-14     0.00016  0.00082  2.59   98958      81  494593  6732461  68.03
  1989        15-19     0.00042  0.00212  2.41   98877     210  493840  6237868  63.09
  1989        20-24     0.00054  0.00269  2.46   98667     266  492658  5744028  58.22
  1989        25-29     0.00051  0.00256  2.57   98401     252  491393  5251370  53.37
  1989        30-34     0.00061  0.00304  2.72   98149     298  490066  4759977  48.50
  1989        35-39     0.00108  0.00536  2.47   97851     525  487929  4269911  43.64
  1989        40-44     0.00181  0.00902  2.63   97326     878  484548  3781982  38.86
  1989        45-49     0.00312  0.01547  2.75   96448    1492  478888  3297434  34.19
  1989        50-54     0.00420  0.02079  2.70   94956    1974  470232  2818546  29.68
  1989        55-59     0.00666  0.03279  2.56   92982    3049  457485  2348314  25.26
  1989        60-64     0.01023  0.05000  2.74   89933    4497  439519  1890829  21.02
  1989        65-69     0.01629  0.07852  2.70   85436    6709  411764  1451311  16.99
  1989        70-74     0.03036  0.14189  2.70   78728   11170  367978  1039547  13.20
